tubeOD (V),,,OD measured,,,LabJack Output,,,
,,,,,,3709241032,0.996699,1.570854,1.05291
,,,,,,3709241062,0.991671,1.591096,1.014808
,,,,,,3709241092,0.981615,1.598835,1.014808
,,,,,,3709241122,0.991671,1.587524,1.023738
,,,,,,3709241152,0.981615,1.567878,1.048742
,,,,,,3709241182,1.001728,1.576212,1.03624
,,,,,,3709241212,0.981615,1.595858,1.017785
,,,,,,3709241242,0.961502,1.548827,1.030882
,,,,,,3709241272,0.981615,1.563115,1.060054
,,,,,,3709241302,0.991671,1.567878,1.054696
,,,,,,3709241332,1.006756,1.554185,1.023738
,,,,,,3709241362,1.001728,1.561329,1.033859
,,,,,,3709241392,0.996699,1.569664,1.01838
,,,,,,3709241422,0.986643,1.563115,1.027905
,,,,,,3709241452,0.96653,1.576808,1.042789
,,,,,,3709241482,0.996699,1.505367,1.020761
,,,,,,3709241512,0.971559,1.585142,1.030287
,,,,,,3709241542,0.991671,1.569068,1.029691
,,,,,,3709241572,0.986643,1.56252,1.036836
,,,,,,3709241602,0.996699,1.557161,1.032073
,,,,,,3709241632,0.981615,1.557161,1.035645
,,,,,,3709241662,0.991671,1.548231,1.020761
,,,,,,3709241692,0.976587,1.587524,0.995757
,,,,,,3709241722,0.96653,1.575617,1.024333
,,,,,,3709241752,0.976587,1.560138,1.038622
,,,,,,3709241782,0.976587,1.58157,1.006473
,,,,,,3709241812,0.976587,1.558352,1.029691
,,,,,,3709241842,0.991671,1.552399,1.018975
,,,,,,3709241872,0.996699,1.542278,1.036836
,,,,,,3709241902,0.981615,1.549422,1.015999
,,,,,,3709241932,0.986643,1.561924,1.010045
,,,,,,3709241962,0.976587,1.572045,1.004687
,,,,,,3709241992,0.981615,1.57264,1.005878
,,,,,,3709242022,0.986643,1.547041,1.030882
,,,,,,3709242052,0.986643,1.551803,1.038026
,,,,,,3709242082,1.001728,1.539897,1.03624
,,,,,,3709242112,0.981615,1.567878,1.004092
,,,,,,3709242142,0.981615,1.551803,1.014213
,,,,,,3709242172,0.971559,1.578594,1.020166
,,,,,,3709242202,0.991671,1.557757,0.995162
,,,,,,3709242232,0.981615,1.561924,1.011236
,,,,,,3709242262,0.96653,1.553589,1.039217
,,,,,,3709242292,0.981615,1.56252,1.011831
,,,,,,3709242322,0.96653,1.556566,1.024929
,,,,,,3709242352,0.976587,1.541087,1.03624
,,,,,,3709242382,0.986643,1.550613,1.02731
,,,,,,3709242412,0.971559,1.555375,1.002306
,,,,,,3709242442,0.956474,1.573236,1.018975
,,,,,,3709242472,0.976587,1.549422,1.007069
,,,,,,3709242502,0.96653,1.546445,1.026119
,,,,,,3709242532,0.956474,1.558352,1.01838
,,,,,,3709242562,0.96653,1.568473,1.006473
,,,,,,3709242592,0.96653,1.570259,1.008855
,,,,,,3709242622,0.976587,1.550613,1.044575
,,,,,,3709242652,0.961502,1.552399,1.015403
,,,,,,3709242682,0.956474,1.559543,1.015403
,,,,,,3709242712,0.961502,1.548827,1.005878
,,,,,,3709242742,0.96653,1.555971,1.002901
,,,,,,3709242772,0.971559,1.532157,1.029691
,,,,,,3709242802,0.991671,1.530967,0.99159
,,,,,,3709242832,0.976587,1.550613,0.986827
,,,,,,3709242862,0.961502,1.56252,1.010641
,,,,,,3709242892,0.951446,1.561329,1.012427
,,,,,,3709242922,0.951446,1.561924,1.007069
,,,,,,3709242952,0.956474,1.540492,1.010641
,,,,,,3709242982,0.961502,1.559543,1.00945
,,,,,,3709243012,0.956474,1.536325,1.026119
,,,,,,3709243042,0.971559,1.556566,0.998139
,,,,,,3709243072,0.96653,1.560138,0.988018
,,,,,,3709243102,0.981615,1.552399,1.011831
,,,,,,3709243132,0.96653,1.550017,1.001115
,,,,,,3709243162,0.961502,1.536325,1.031477
,,,,,,3709243192,0.976587,1.537515,1.029096
,,,,,,3709243222,0.971559,1.548231,1.020761
,,,,,,3709243252,0.961502,1.559543,1.010045
,,,,,,3709243282,0.956474,1.561924,0.994566
,,,,,,3709243312,0.951446,1.54585,0.998139
,,,,,,3709243342,0.951446,1.567282,1.007664
,,,,,,3709243372,0.956474,1.569068,0.990399
,,,,,,3709243402,0.971559,1.531562,1.001711
,,,,,,3709243432,0.951446,1.55478,1.008259
,,,,,,3709243462,0.96653,1.57145,0.978492
,,,,,,3709243492,0.956474,1.560734,0.999925
,,,,,,3709243522,0.951446,1.538706,0.995162
,,,,,,3709243552,0.961502,1.537515,1.022547
,,,,,,3709243582,0.956474,1.551803,0.996948
,,,,,,3709243612,0.956474,1.56371,1.001115
,,,,,,3709243642,0.971559,1.554185,0.996352
,,,,,,3709243672,0.971559,1.527395,1.017785
,,,,,,3709243702,0.976587,1.534539,1.017189
,,,,,,3709243732,0.956474,1.559543,0.985636
,,,,,,3709243762,0.956474,1.555971,1.019571
,,,,,,3709243792,0.951446,1.547636,1.006473
,,,,,,3709243822,0.986643,1.525609,0.993971
,,,,,,3709243852,0.956474,1.548231,1.001115
,,,,,,3709243882,0.96653,1.526799,1.003497
,,,,,,3709243912,0.961502,1.557161,1.010045
,,,,,,3709243942,0.976587,1.528585,1.00052
,,,,,,3709243972,0.976587,1.520846,1.010045
,,,,,,3709244002,0.961502,1.549422,1.006473
,,,,,,3709244032,0.94139,1.551803,1.015999
,,,,,,3709244062,0.946418,1.548231,0.979088
,,,,,,3709244092,0.96653,1.536325,0.995757
,,,,,,3709244122,0.946418,1.542278,1.007664
,,,,,,3709244152,0.956474,1.546445,0.979088
,,,,,,3709244182,0.971559,1.550613,0.996948
,,,,,,3709244212,0.961502,1.553589,0.996948
,,,,,,3709244242,0.961502,1.532157,1.020166
,,,,,,3709244272,0.946418,1.535729,1.00945
,,,,,,3709244302,0.96653,1.555971,0.990399
,,,,,,3709244332,0.981615,1.523227,1.007069
,,,,,,3709244362,0.951446,1.557757,0.997543
,,,,,,3709244392,0.951446,1.560138,0.97492
,,,,,,3709244422,0.961502,1.532753,1.008855
,,,,,,3709244452,0.981615,1.516678,1.013617
,,,,,,3709244482,0.971559,1.539897,0.988018
,,,,,,3709244512,0.971559,1.544659,0.993971
,,,,,,3709244542,0.96653,1.522632,1.013022
,,,,,,3709244572,0.971559,1.527395,1.003497
,,,,,,3709244602,0.951446,1.528585,1.002901
,,,,,,3709244632,0.971559,1.542278,0.998734
,,,,,,3709244662,0.96653,1.537515,0.981469
,,,,,,3709244692,0.971559,1.530371,0.985041
,,,,,,3709244722,0.96653,1.522632,1.007664
,,,,,,3709244752,0.946418,1.538706,0.999329
,,,,,,3709244782,0.971559,1.523227,1.008855
,,,,,,3709244812,0.951446,1.54585,1.003497
,,,,,,3709244842,0.946418,1.548827,0.99278
,,,,,,3709244872,0.951446,1.53692,0.981469
,,,,,,3709244902,0.946418,1.530967,0.984446
,,,,,,3709244932,0.956474,1.542873,0.990399
,,,,,,3709244962,0.96653,1.535729,0.990399
,,,,,,3709244992,0.936362,1.542873,1.002306
,,,,,,3709245022,0.951446,1.551208,0.990994
,,,,,,3709245052,0.976587,1.514297,0.999925
,,,,,,3709245082,0.961502,1.532753,1.020761
,,,,,,3709245112,0.94139,1.544659,1.004092
,,,,,,3709245142,0.96653,1.519655,1.014213
,,,,,,3709245172,0.96653,1.525013,1.001115
,,,,,,3709245202,0.96653,1.525013,0.999329
,,,,,,3709245232,0.946418,1.548231,0.983255
,,,,,,3709245262,0.96653,1.528585,1.001115
,,,,,,3709245292,0.961502,1.522037,0.99159
,,,,,,3709245322,0.956474,1.547636,0.980874
,,,,,,3709245352,0.951446,1.527395,1.011831
,,,,,,3709245382,0.956474,1.522632,0.989208
,,,,,,3709245412,0.956474,1.523823,1.007664
,,,,,,3709245442,0.96653,1.500009,0.999329
,,,,,,3709245472,0.951446,1.545255,0.980874
,,,,,,3709245502,0.946418,1.546445,0.977897
,,,,,,3709245532,0.946418,1.522037,1.00945
,,,,,,3709245562,0.946418,1.547636,0.96599
,,,,,,3709245592,0.946418,1.542873,0.980874
,,,,,,3709245622,0.96653,1.523823,0.99278
,,,,,,3709245652,0.94139,1.537515,0.992185
,,,,,,3709245682,0.94139,1.552399,0.996352
,,,,,,3709245712,0.971559,1.504176,0.999925
,,,,,,3709245742,0.956474,1.533943,0.981469
,,,,,,3709245772,0.956474,1.531562,0.985636
,,,,,,3709245802,0.961502,1.520846,0.980874
,,,,,,3709245832,0.956474,1.52799,0.998139
,,,,,,3709245862,0.96653,1.532753,0.995162
,,,,,,3709245892,0.971559,1.507748,0.990994
,,,,,,3709245922,0.956474,1.539301,0.993376
,,,,,,3709245952,0.951446,1.554185,0.979683
,,,,,,3709245982,0.96653,1.516083,1.002901
,,,,,,3709246012,0.94139,1.535134,0.989208
,,,,,,3709246042,0.94139,1.542873,0.974325
,,,,,,3709246072,0.956474,1.526799,1.007069
,,,,,,3709246102,0.96653,1.517274,0.986232
,,,,,,3709246132,0.936362,1.537515,0.986232
,,,,,,3709246162,0.946418,1.541087,0.981469
,,,,,,3709246192,0.931333,1.533943,0.981469
,,,,,,3709246222,0.956474,1.535729,0.975516
,,,,,,3709246252,0.936362,1.538706,0.969562
,,,,,,3709246282,0.956474,1.510725,1.010641
,,,,,,3709246312,0.976587,1.522037,0.996948
,,,,,,3709246342,0.951446,1.527395,1.012427
,,,,,,3709246372,0.976587,1.515488,0.98266
,,,,,,3709246402,0.951446,1.538111,0.977302
,,,,,,3709246432,0.951446,1.532157,0.990399
,,,,,,3709246462,0.946418,1.539897,0.973134
,,,,,,3709246492,0.951446,1.522037,0.989804
,,,,,,3709246522,0.951446,1.52799,1.00945
,,,,,,3709246552,0.956474,1.515488,0.980278
,,,,,,3709246582,0.946418,1.526799,0.985636
,,,,,,3709246612,0.946418,1.551803,0.971348
,,,,,,3709246642,0.951446,1.533943,0.97492
,,,,,,3709246672,0.96653,1.52025,1.005283
,,,,,,3709246702,0.951446,1.517869,1.012427
,,,,,,3709246732,0.956474,1.513106,1.00945
,,,,,,3709246762,0.946418,1.529776,1.002306
,,,,,,3709246792,0.946418,1.539897,0.977302
,,,,,,3709246822,0.946418,1.521441,0.996352
,,,,,,3709246852,0.971559,1.51906,0.988613
,,,,,,3709246882,0.961502,1.515488,0.990994
,,,,,,3709246912,0.956474,1.542278,0.97373
,,,,,,3709246942,0.956474,1.513106,1.001115
,,,,,,3709246972,0.946418,1.525013,0.999329
,,,,,,3709247002,0.961502,1.531562,0.980874
,,,,,,3709247032,0.96653,1.512511,0.988018
,,,,,,3709247062,0.956474,1.521441,0.98266
,,,,,,3709247092,0.946418,1.543469,0.985636
,,,,,,3709247122,0.951446,1.507153,0.990399
,,,,,,3709247152,0.951446,1.536325,0.9648
,,,,,,3709247182,0.96653,1.51013,0.995162
,,,,,,3709247212,0.956474,1.514892,1.003497
,,,,,,3709247242,0.94139,1.531562,0.975516
,,,,,,3709247272,0.951446,1.51013,0.980278
,,,,,,3709247302,0.956474,1.528585,0.971348
,,,,,,3709247332,0.951446,1.555375,0.973134
,,,,,,3709247362,0.951446,1.509534,0.981469
,,,,,,3709247392,0.936362,1.52799,0.976706
,,,,,,3709247422,0.956474,1.521441,0.999329
,,,,,,3709247452,0.94139,1.51906,0.996352
,,,,,,3709247482,0.931333,1.529776,0.989804
,,,,,,3709247512,0.951446,1.550017,0.969562
,,,,,,3709247542,0.951446,1.508939,0.99159
,,,,,,3709247572,0.94139,1.54585,0.975516
,,,,,,3709247602,0.946418,1.541683,0.949916
,,,,,,3709247632,0.956474,1.522037,0.987422
,,,,,,3709247662,0.94139,1.543469,0.954679
,,,,,,3709247692,0.956474,1.506558,0.998139
,,,,,,3709247722,0.956474,1.505367,0.969562
,,,,,,3709247752,0.951446,1.509534,0.980278
,,,,,,3709247782,0.951446,1.486912,0.98266
,,,,,,3709247812,0.96653,1.502986,0.986232
,,,,,,3709247842,0.936362,1.52799,0.988613
,,,,,,3709247872,0.961502,1.495246,0.990994
,,,,,,3709247902,0.94139,1.534539,0.970158
,,,,,,3709247932,0.96653,1.505367,0.983255
,,,,,,3709247962,0.936362,1.520846,0.998139
,,,,,,3709247992,0.956474,1.512511,0.986827
,,,,,,3709248022,0.96653,1.49346,0.97373
,,,,,,3709248052,0.936362,1.52799,0.98266
,,,,,,3709248082,0.956474,1.510725,0.979088
,,,,,,3709248112,0.936362,1.527395,0.977897
,,,,,,3709248142,0.946418,1.52025,0.996948
,,,,,,3709248172,0.961502,1.505962,0.986827
,,,,,,3709248202,0.951446,1.532753,0.979683
,,,,,,3709248232,0.961502,1.51013,0.976111
,,,,,,3709248262,0.956474,1.508344,0.969562
,,,,,,3709248292,0.946418,1.540492,0.963609
,,,,,,3709248322,0.96653,1.523227,0.975516
,,,,,,3709248352,0.936362,1.52025,0.987422
,,,,,,3709248382,0.931333,1.547636,0.970753
,,,,,,3709248412,0.956474,1.517869,0.998139
,,,,,,3709248442,0.951446,1.5012,0.979683
,,,,,,3709248472,0.94139,1.535729,0.971348
,,,,,,3709248502,0.931333,1.534539,0.959441
,,,,,,3709248532,0.96653,1.498223,0.986827
,,,,,,3709248562,0.956474,1.491079,0.996948
,,,,,,3709248592,0.951446,1.535729,0.959441
,,,,,,3709248622,0.936362,1.529181,0.979088
,,,,,,3709248652,0.94139,1.525013,0.961823
,,,,,,3709248682,0.931333,1.544064,0.988613
,,,,,,3709248712,0.94139,1.531562,0.969562
,,,,,,3709248742,0.936362,1.537515,0.961228
,,,,,,3709248772,0.936362,1.522037,0.984446
,,,,,,3709248802,0.94139,1.538706,0.979088
,,,,,,3709248832,0.951446,1.502986,0.993971
,,,,,,3709248862,0.946418,1.516678,0.981469
,,,,,,3709248892,0.951446,1.509534,0.971348
,,,,,,3709248922,0.936362,1.538706,0.957655
,,,,,,3709248952,0.931333,1.508939,0.985041
,,,,,,3709248982,0.946418,1.5012,0.976706
,,,,,,3709249012,0.961502,1.499414,0.986232
,,,,,,3709249042,0.936362,1.525013,0.956465
,,,,,,3709249072,0.961502,1.514297,0.98266
,,,,,,3709249102,0.946418,1.512511,1.005283
,,,,,,3709249132,0.956474,1.502986,0.958251
,,,,,,3709249162,0.956474,1.508344,0.95706
,,,,,,3709249192,0.936362,1.523227,0.976706
,,,,,,3709249222,0.956474,1.501795,0.988613
,,,,,,3709249252,0.946418,1.492865,0.971944
,,,,,,3709249282,0.936362,1.515488,0.986827
,,,,,,3709249312,0.946418,1.527395,0.944558
,,,,,,3709249342,0.921277,1.532753,0.915386
,,,,,,3709249372,0.956474,1.510725,0.982064
,,,,,,3709249402,0.94139,1.533943,0.961823
,,,,,,3709249432,0.936362,1.514297,0.964204
,,,,,,3709249462,0.94139,1.533348,0.938009
,,,,,,3709249492,0.956474,1.494651,0.978492
,,,,,,3709249522,0.951446,1.523823,0.968967
,,,,,,3709249552,0.931333,1.52025,0.94813
,,,,,,3709249582,0.956474,1.496437,0.987422
,,,,,,3709249612,0.961502,1.502986,0.978492
,,,,,,3709249642,0.931333,1.530371,0.96599
,,,,,,3709249672,0.946418,1.507153,0.958846
,,,,,,3709249702,0.931333,1.529776,0.960037
,,,,,,3709249732,0.946418,1.512511,0.980874
,,,,,,3709249762,0.956474,1.490484,0.974325
,,,,,,3709249792,0.936362,1.519655,0.979683
,,,,,,3709249822,0.94139,1.513106,0.99278
,,,,,,3709249852,0.946418,1.51013,0.980278
,,,,,,3709249882,0.946418,1.506558,0.988018
,,,,,,3709249912,0.921277,1.525013,0.975516
,,,,,,3709249942,0.94139,1.535134,0.958846
,,,,,,3709249972,0.961502,1.511916,0.960632
,,,,,,3709250002,0.956474,1.495842,0.972539
,,,,,,3709250032,0.951446,1.504176,0.973134
,,,,,,3709250062,0.961502,1.49346,0.960037
,,,,,,3709250092,0.946418,1.523227,0.95706
,,,,,,3709250122,0.931333,1.505962,0.962418
,,,,,,3709250152,0.961502,1.497628,0.973134
,,,,,,3709250182,0.961502,1.497628,0.981469
,,,,,,3709250212,0.921277,1.516678,0.961228
,,,,,,3709250242,0.951446,1.512511,0.94813
,,,,,,3709250272,0.926305,1.522632,0.970158
,,,,,,3709250302,0.931333,1.51906,0.97492
,,,,,,3709250332,0.936362,1.529181,0.959441
,,,,,,3709250362,0.961502,1.497032,0.972539
,,,,,,3709250392,0.936362,1.507153,0.979088
,,,,,,3709250422,0.931333,1.522037,0.947535
,,,,,,3709250452,0.946418,1.50239,0.983255
,,,,,,3709250482,0.931333,1.510725,0.954679
,,,,,,3709250512,0.921277,1.524418,0.958846
,,,,,,3709250542,0.946418,1.508344,0.963014
,,,,,,3709250572,0.951446,1.507153,0.990399
,,,,,,3709250602,0.946418,1.514297,0.9648
,,,,,,3709250632,0.931333,1.531562,0.953488
,,,,,,3709250662,0.936362,1.522037,0.955274
,,,,,,3709250692,0.951446,1.494651,0.97492
,,,,,,3709250722,0.936362,1.528585,0.977897
,,,,,,3709250752,0.946418,1.513702,0.968967
,,,,,,3709250782,0.956474,1.525609,0.959441
,,,,,,3709250812,0.94139,1.52025,0.960037
,,,,,,3709250842,0.926305,1.532157,0.972539
,,,,,,3709250872,0.956474,1.501795,0.972539
,,,,,,3709250902,0.956474,1.5012,0.960037
,,,,,,3709250932,0.936362,1.523823,0.954083
,,,,,,3709250962,0.926305,1.525013,0.932056
,,,,,,3709250992,0.936362,1.523823,0.960632
,,,,,,3709251022,0.931333,1.503581,0.984446
,,,,,,3709251052,0.931333,1.52025,0.939795
,,,,,,3709251082,0.946418,1.502986,0.983255
,,,,,,3709251112,0.926305,1.526204,0.963014
,,,,,,3709251142,0.94139,1.501795,0.963014
,,,,,,3709251172,0.956474,1.50239,0.958251
,,,,,,3709251202,0.936362,1.52799,0.945153
,,,,,,3709251232,0.921277,1.501795,0.970158
,,,,,,3709251262,0.931333,1.530967,0.963014
,,,,,,3709251292,0.931333,1.536325,0.956465
,,,,,,3709251322,0.931333,1.530967,0.954083
,,,,,,3709251352,0.931333,1.516678,0.973134
,,,,,,3709251382,0.94139,1.490484,0.964204
,,,,,,3709251412,0.936362,1.499414,0.951107
,,,,,,3709251442,0.946418,1.503581,0.97373
,,,,,,3709251472,0.956474,1.497032,0.968372
,,,,,,3709251502,0.94139,1.504176,0.980278
,,,,,,3709251532,0.951446,1.491674,0.97492
,,,,,,3709251562,0.956474,1.49346,0.972539
,,,,,,3709251592,0.951446,1.502986,0.974325
,,,,,,3709251622,0.931333,1.533943,0.960632
,,,,,,3709251652,0.931333,1.526799,0.946939
,,,,,,3709251682,0.926305,1.538706,0.946939
,,,,,,3709251712,0.951446,1.495246,0.960037
,,,,,,3709251742,0.936362,1.517869,0.942177
,,,,,,3709251772,0.94139,1.500604,0.951107
,,,,,,3709251802,0.956474,1.503581,0.973134
,,,,,,3709251832,0.94139,1.497032,0.954083
,,,,,,3709251862,0.951446,1.498223,0.963609
,,,,,,3709251892,0.936362,1.538706,0.937414
,,,,,,3709251922,0.94139,1.5012,0.988018
,,,,,,3709251952,0.926305,1.529181,0.965395
,,,,,,3709251982,0.94139,1.526799,0.945749
,,,,,,3709252012,0.94139,1.524418,0.935628
,,,,,,3709252042,0.94139,1.517869,0.950511
,,,,,,3709252072,0.926305,1.517274,0.949321
,,,,,,3709252102,0.931333,1.516083,0.974325
,,,,,,3709252132,0.94139,1.525013,0.942772
,,,,,,3709252162,0.951446,1.494651,0.945749
,,,,,,3709252192,0.951446,1.489888,0.961823
,,,,,,3709252222,0.94139,1.525609,0.938605
,,,,,,3709252252,0.94139,1.506558,0.966586
,,,,,,3709252282,0.921277,1.506558,0.946939
,,,,,,3709252312,0.936362,1.516678,0.938009
,,,,,,3709252342,0.951446,1.504176,0.978492
,,,,,,3709252372,0.946418,1.492865,0.97373
,,,,,,3709252402,0.94139,1.507748,0.97373
,,,,,,3709252432,0.94139,1.498223,0.975516
,,,,,,3709252462,0.946418,1.51013,0.963609
,,,,,,3709252492,0.931333,1.490484,0.963014
,,,,,,3709252522,0.911221,1.511916,0.946939
,,,,,,3709252552,0.951446,1.488102,0.955274
,,,,,,3709252582,0.931333,1.489293,0.943367
,,,,,,3709252612,0.936362,1.500604,0.949321
,,,,,,3709252642,0.916249,1.52025,0.940391
,,,,,,3709252672,0.951446,1.492865,0.956465
,,,,,,3709252702,0.951446,1.488698,0.963609
,,,,,,3709252732,0.946418,1.489888,0.96599
,,,,,,3709252762,0.931333,1.529181,0.9392
,,,,,,3709252792,0.926305,1.530371,0.927889
,,,,,,3709252822,0.956474,1.489293,0.948725
,,,,,,3709252852,0.926305,1.530371,0.920149
,,,,,,3709252882,0.926305,1.497628,0.963609
,,,,,,3709252912,0.94139,1.495842,0.927889
,,,,,,3709252942,0.936362,1.494651,0.962418
,,,,,,3709252972,0.916249,1.51132,0.963014
,,,,,,3709253002,0.936362,1.516083,0.942772
,,,,,,3709253032,0.936362,1.499414,0.946344
,,,,,,3709253062,0.94139,1.497032,0.955274
,,,,,,3709253092,0.951446,1.500604,0.954679
,,,,,,3709253122,0.931333,1.501795,0.96599
,,,,,,3709253152,0.921277,1.51906,0.952297
,,,,,,3709253182,0.946418,1.496437,0.954083
,,,,,,3709253212,0.936362,1.509534,0.948725
,,,,,,3709253242,0.94139,1.495246,0.929675
,,,,,,3709253272,0.926305,1.498223,0.955274
,,,,,,3709253302,0.94139,1.508939,0.947535
,,,,,,3709253332,0.94139,1.495842,0.975516
,,,,,,3709253362,0.94139,1.508344,0.927293
,,,,,,3709253392,0.94139,1.489888,0.936819
,,,,,,3709253422,0.921277,1.528585,0.920744
,,,,,,3709253452,0.936362,1.508939,0.953488
,,,,,,3709253482,0.936362,1.508344,0.940391
,,,,,,3709253512,0.936362,1.511916,0.961228
,,,,,,3709253542,0.951446,1.500009,0.955274
,,,,,,3709253572,0.936362,1.498818,0.963609
,,,,,,3709253602,0.931333,1.535134,0.925507
,,,,,,3709253632,0.94139,1.488698,0.952297
,,,,,,3709253662,0.946418,1.479767,0.934437
,,,,,,3709253692,0.951446,1.495246,0.946344
,,,,,,3709253722,0.916249,1.507748,0.925507
,,,,,,3709253752,0.94139,1.494056,0.951702
,,,,,,3709253782,0.936362,1.525609,0.946939
,,,,,,3709253812,0.94139,1.497628,0.958846
,,,,,,3709253842,0.916249,1.51906,0.94813
,,,,,,3709253872,0.911221,1.514892,0.911814
,,,,,,3709253902,0.94139,1.490484,0.947535
,,,,,,3709253932,0.921277,1.523227,0.950511
,,,,,,3709253962,0.921277,1.508939,0.936223
,,,,,,3709253992,0.936362,1.498223,0.958251
,,,,,,3709254022,0.946418,1.495246,0.944558
,,,,,,3709254052,0.94139,1.499414,0.948725
,,,,,,3709254082,0.94139,1.507153,0.968372
,,,,,,3709254112,0.936362,1.496437,0.945153
,,,,,,3709254142,0.936362,1.5012,0.952893
,,,,,,3709254172,0.921277,1.515488,0.955869
,,,,,,3709254202,0.94139,1.473814,0.935033
,,,,,,3709254232,0.916249,1.513106,0.934437
